QueryText,KccAns
asked about the control of sucking pest,recomended to spray dimethoate 2mllit
asked about the control of green leaf hopper in rice,recommended to spray ethopenphos15mllit
asked about the control of stem borer in rice,recommended to spray monocrotophos 16mllit
asked about the control of die-back and fruit rot,recommended to spray captan 15 grlit
asked about the control of glh,recommended to spray ethofenphos 15mllit
asked about the control of tungro virus,recommended to spray ethofenphos 15 mllit
asked about the control of green leaf hopper,recomended to spray monocrotophos 2mllit
asked about the control of sheath-blight,recommended to spray hexaconozole 2 mllit
asked about the control of bph,recommended to spray bpmc 2 mllit
asked about the control of mites,recommended to spray dicofal 3mllit
asked about the control of mites,recommended to spray dicofal 3mllit
asked about the control of mites,recommended to spray dicofal 3mllit
asked about the control of suckingpest,recommended to spray borax 3gmlit
asked about the growing season and crop period of 1010 paddy variety,recommended to raise in rabi
asked about the control of suckingpest,recommended to spray borax 3gmlit
asked about the growing season and crop period of 1010 paddy variety,recommended to raise in rabi
asked about the control of sheathblight,recommended to spray validacin 2 mllit or hexaconozole 2 mllit
asked about the soil type for sowing groundnut,recommended soil types are sandyred soils
asked about cm pashukranthi pathakamu,informmed to as per the provided data
asked about cm pashukranthi patakamu,informmed to as per the provided data
asked about the weather report,informed as per the provided data
asked about the control of sheath blight,recommended to spray validacin 2 mllit
asked about the weather report,informed as per the provided data
asked about the control of sheath blight,recommended to spray validacin 2 mllit
asked about the phone number of jd animal husbandry,provided him with the contact no
asked about the phone number of jd animal husbandry,provided him with the contact no
asked about the control of thrips,recommended to spray fasalon 3 mllit or monocrotophos 15 mllit
asked about the control of sheathblight,recommended to spray validacin 2 mllit or hexaconozole 2 mllit
asked about the control of thrips,recommended to spray fasalon 3 mllit or monocrotophos 15 mllit
asked about the varieties,recommended varieties are igfri-3808tndn-1
asked about the control of midze fly in chilli,recommended to spray quinolphos 2mllit
asked about the varities,recommended varity ofgreen gold
asked about the control of cuscuta,recommended to spray persuit 200mlltr
asked about the control of mango hoppers,recommended to spray phasphomidon 05mllt
asked about the control of stem borer in maize,recommended to spray monocrotophos2mllit
asked about the control of fruit and shoot borer in brinjal,recommended to spray profinophos2mllit
asked about the control of fruit drop,recommended to apply potash and blitox 3gmltr
asked about control for flower dropping,recommended to spray planophix 1ml5lt
asked about the control of sheathblight in paddy,recommended to spray hexaconazole2mllit
asked about the control of bph in rice,recommended to spray acephate 15gmlt
asked about the control of leaf webber in mango,recommended to spray quinolphos 2mllt
asked about control for leaf folder,recommended to apply quinalphos 2mllt
asked about sowing season,recommended to give 20-25cms in between the plants
asked about the control of stem borer in maize,recommended carbofuran granules3kgsacre
asked about control for thrips,recommended to spray imedachloprid 2mllt
asked about the control of smut in sugar cane,recommended to spray propiconazole05mlliter
asked about the control rot rot in ground nut,recommended to spray mancozed3gramsliter
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about control for sucking pests,recommended to spray rogor 2mllitre
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of stone weevil,recommended to spray monocrotophas 16mlltr
asked about the control of fruit borer in mango,escalation to level to 2
asked about control of turcicum leaf blight,recommended to spraymancozeb 2gmlt
asked about control for rats,recommended to make the mixer of bromadiolone oil paddy mixture and put it into the hole
asked about control for powdery mildew damage,recommended to spray wettable sulpher 3grlitre
asked about the control of root rot in ground nut,recommended to spray mancozed600gramsacre
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about the control of stem borer,recommended to spray cartaphydrochloride 2 gmltr
asked about the control of blast in paddy,recommended to spreay trycyclozole06gramsliter
aske about the control of fruit drop in mango,recommended to spray planofix1mlliter
asked about bhendi varieties,recommended varieties are arkaanamika arkaabaya
asked about the control of early blight,recommended to spray mancozeb 3gmltr
asked about varieties for kharif season,recommended to choose yalamanchili 11 or 17
asked about information on sets treatment,recommended to malathion 2ml1l water soak the sets in solution for 15 min
asked about control of sheath blight,recommended to spray hexaconazole 2ml1l water
asked about control for shaeth blight,recommended to spray contoff 2mllitre
asked about control of sheath blight,recommended to spray hexaconazole 2ml1l water
asked about mite damage in coconut,recommended to spray dicofal 5mllt
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about the control of sheath blight in paddy,recommended to spray hexaconazole2mlliter
asked about varieties,recommended to choose hima or chandana
asked about the control of bph in paddy,recommended to spray hexacvonazole2mlliter
asked about the control of bph in paddy,recommended to spray hexacvonazole2mlliter
asked about control of termites in mango,recommended to apply lindane powder
asked about control of termites in mango,recommended to apply lindane powder
asked about control for rats damage,recommended to apply bromadioline oil mixture
asked about control for rats damage,recommended to apply bromadioline oil mixture
asked about control of sheath rot in rice,recommended to spray benomyl 2mllt
asked about control of sheath rot in rice,recommended to spray benomyl 2mllt
asked about control of fruit damage in jowar,recommended to spray endosulfan 2mllt
asked about the control of blast in paddy,recommended to spray trycyclozole06gramsliter
asked about varities in sesamum,recommended varities are yelamanchili  rajeswari
asked about varieties which are resistant for rice blast in kharif season,recommended to choose mtu- 1001 or 1010 or 3626
asked about varieties which are resistant for rice blast in kharif season,recommended to choose mtu- 1001 or 1010 or 3626
asked about varieties,recommended to choose rajeshwari or swethathil
asked about varieties,recommended to choose rajeshwari or swethathil
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about the control of sheath blight,recommended to spray hexaconozole 2mlltr
asked about varities of sesamum,recommended to swethathilrajeshwari varities
asked about varities of sesamum,recommended to swethathilrajeshwari varities
asked about the control of stem borer,recommended for the application of cartaphydrochloride 2gmltr
asked about control for pink bollworm,recommended to apply endosulfon 2mllitre
asked about the control of stem borer,recommended to spray cartaphydrochloride 2 gmltr
asked about the control of bph,recommended for the application of acephate 15 gmltr
asked about control for storage pests,recommended to apply aluminium phospide tablets
asked about control for storage pests,recommended to apply aluminium phospide tablets
asked about fruit fall in mango,recommanded to spray polyfide3gm 15ml monocrotphos in liter water
asked about bird rearing,given no: 040-24015323
easily pull out of sugarcane,recommanded to spray endosulphon2mllit water
asked about control for fruit borer damage,recommended to spray quinolphos 2mllitre
asked about control of stem borer in jowar,recommended to spray carbofuran 4g granules
asked about the rice varieties,recommended varieties are mtu1001apoorvaprabath
asked about control of rice stem borer,recommended to spray cartaphydrochloride 25gmlt
asked about the early sowing,esc to atic
asked about cotrol of mites,recommended to spray dicofol 2gmltwater
asked about the weedicide,recommended to spray pendimithalin 15 ltracre
asked about agriculture implements,provided him with requiqed infirmation
asked about the weedicide,recommendedweedicide is benthiocarp 15 ltracre
asked about the control of rustanthracnose,recommended to spray copperoxi chloride3glit of water
askecx about the sowing season,informed that it is june to july
asked about the varieties,recommended varieties are pkm-1jafna
asked about seed treatment of turmeric,recommended to treat the seeds with mancozeb 3gmkg seed in 1 lt
asked about fertilizer dosage in oilpalm in third year,recommended to apply n-2610  ssp-3750 mop-2000 magnesium sulphate-500 gmsplant
asked about the weed control,recommended to spray atratap800gacre to be mixed in 240 lit of water
asked about control for weeds,recommended to spray 100ml glyphosate with 100gr ammonium sulphate with 10 litres of water
asked about control for sucking pests damaage,recommended to spray rogor 2mllitre
asked about control for weeds,recommended tospray paraquat 40ml10lit water
asked about varieties,recommended to choose icpl-85063 or palnadu or lrg-38
asked about remedy for zinc defficiency,recommended to spray znso4  2glit of water
asked about control for weeds,recommended to spray allachlore 1litreacre
asked about the control of fruit borer,recommended to spray prophenophos  2mllit of water
asked about information on drum seed technique,esc to atic
asked about weather data,answer given as per data
asked about the control of stem borer damage,recommended to spray cartap hydro chloride 2 gmltr
asked about the control of zinc defeciency,recommended for the application of zinc sulphate 2 gmltr
asked about control for leaffolder damage,recommended to spray chlorpyripos 25mllitre
asked about control for powdery mildew,recommended to spray dinocap 1mllit
asked about control of weeds in paddy,recommended to spray butachlore 15lt200lt water
asked about information on biofertilizer,esc to atic
asked about the control of zinc defeciency,recommended for the applicaton of zinc slphate 2 gmltr
asked about the fertilizer dosage,recommended dosage is 32 kg-n 24 kg-p 20-kg-k
